"dcm(1,1)","dcm(1,2)","dcm(1,3)","dcm(2,1)","dcm(2,2)","dcm(2,3)","dcm(3,1)","dcm(3,2)","dcm(3,3)",phi,psi,theta
0.032,0.34,0.198,0.213,0.141,0.546,0.839,0.682,0.063,1.4216768107780458,-0.8861750972122319,1.4786823758469525
0.154,0.555,0.804,0.353,0.18,0.728,0.829,0.949,0.477,1.159426622258569,-0.6627393747038054,1.1050434577464563
0.143,0.04,0.708,0.109,0.247,0.605,0.005,0.186,0.238,0.6512873808051723,-0.0165515132030131,0.6633660450444494
0.666,0.214,0.004,0.308,0.867,0.034,0.205,0.4,0.079,0.4331692450597603,-0.46587541526530124,1.3758057647131605
0.576,0.204,0.538,0.52,0.709,0.362,0.387,0.634,0.037,0.7343476676364384,-0.5472831129885541,1.5125028248969055
0.136,0.858,0.181,0.108,0.96,0.409,0.381,0.601,0.704,0.6711438354360088,-0.39047072313297515,0.706634242890075
0.086,0.757,0.322,0.168,0.57,0.783,0.458,0.183,0.954,1.0976703286642282,-0.44057871099896023,0.18952170682578023
0.024,0.455,0.016,0.723,0.509,0.631,0.427,0.876,0.007,1.5376134906283982,-0.4535390032839632,1.5628056292913306
0.649,0.145,0.1,0.066,0.148,0.065,0.97,0.846,0.106,0.10134650326566777,-0.8497141653742596,1.4461503808452307
0.517,0.857,0.308,0.997,0.563,0.701,0.482,0.157,0.818,1.0924146188404358,-0.5245953680957965,0.18962552549867875
0.12,0.078,0.974,0.814,0.157,0.028,0.802,0.85,0.531,1.4244304122869353,-0.6748733074235476,1.0124085397400884
0.219,0.534,0.875,0.867,0.057,0.797,0.174,0.725,0.477,1.3233766595659198,-0.19787316622346623,0.9888658761660994
0.265,0.856,0.133,0.575,0.503,0.7,0.593,0.079,0.811,1.138940123148567,-0.6291093275460062,0.09710424243296356
0.312,0.588,0.278,0.135,0.209,0.421,0.301,0.255,0.885,0.4083680179372315,-0.3158743818722307,0.280536791738322
0.175,0.018,0.427,0.307,0.06,0.723,0.806,0.177,0.764,1.0527032132121819,-0.7990837763979846,0.22765902178802552
0.57,0.972,0.327,0.337,0.268,0.315,0.995,0.649,0.148,0.5339445842830469,-0.981175686235221,1.3465872713971805
0.983,0.818,0.953,0.721,0.674,0.2,0.021,0.427,0.193,0.6328370339788464,-0.044785186753921534,1.1462882229355498
0.547,0.487,0.33,0.124,0.571,0.294,0.63,0.708,0.734,0.22292341643334923,-0.5533759917639071,0.7673696037433024
0.205,0.088,0.149,0.902,0.268,0.381,0.387,0.507,0.056,1.3473197256542637,-0.6490456231676658,1.4607885967615424
0.093,0.2,0.449,0.655,0.992,0.267,0.851,0.251,0.281,1.429754338249978,-1.1539896040851885,0.7290668455189538
0.522,0.084,0.857,0.438,0.108,0.566,0.524,0.648,0.91,0.6981204504479869,-0.43858616922354615,0.6187926711965688
