phi,psi,theta,"dcm(1,1)","dcm(1,2)","dcm(1,3)","dcm(2,1)","dcm(2,2)","dcm(2,3)","dcm(3,1)","dcm(3,2)","dcm(3,3)"
0.036,0.65,0.203,0.7797371415585688,-0.1801432670356428,0.599631881587193,0.16049736566799525,0.9832229751475611,0.08667858302725273,-0.6051864057360395,0.02865282680127064,0.795567991958318
0.85,0.082,0.15,0.9854486918417478,-0.0377816537173855,0.1657209171763407,0.14893600292676418,0.6617680681736294,-0.7347660110388486,-0.08190813622337459,0.7487560153936141,0.6577655255729742
0.734,0.699,0.089,0.7624563157026256,0.36331216561175106,0.5354107180134495,0.06803835095910551,0.777871810152844,-0.6247289250293308,-0.6434525230690634,0.5127569768301912,0.5683741138264647
0.26,0.15,0.008,0.9887394374302982,0.03068537085213837,0.14646751477950357,0.007910084248626353,0.966666391642409,-0.2559170135731983,-0.14943813247359922,0.25419381441079886,0.9555384603866509
0.434,0.315,0.453,0.8548973025818466,-0.2799507477628354,0.43678161690404493,0.4161302154306492,0.8727984395627737,-0.2550657321210136,-0.30981647122760286,0.3998130347097459,0.8626489966563802
0.041,0.457,0.864,0.5827595672961008,-0.7480617832392676,0.31748205489719966,0.6824094835367148,0.6626089585389919,0.30865298450367623,-0.4412579557401946,0.036782285420560515,0.8966261651185654
0.309,0.498,0.18,0.8643457005648515,-0.027635095631014933,0.5021382393370583,0.15728458005970644,0.9632532686533761,-0.21772620720535343,-0.4776694157997745,0.26716931320428877,0.8369303957268195
0.498,0.698,0.164,0.7558492596345744,0.15943710032616454,0.6350367766904924,0.12508270262738372,0.9168727818478706,-0.37907600743119646,-0.6426867154479664,0.3659564358583294,0.6730747899309356
0.801,0.136,0.013,0.9906825268966526,0.0882985431890949,0.1036894313435396,0.012879598408541502,0.6971957659647845,-0.7167650799708453,-0.13558114487825276,0.711422118851713,0.6895624133913052
0.348,0.851,0.714,0.498213231649007,-0.42181428177497426,0.7575330273331425,0.4317056790884263,0.8783695946003353,0.2051756855098662,-0.7519400125360092,0.22481006866309491,0.6197149752709232
0.746,0.284,0.832,0.6464237718807033,-0.4148725048250791,0.6403257857432333,0.7096658259469336,0.6351406096818921,-0.30491116971336246,-0.28019764922386625,0.6515191560292599,0.7049908273845413
0.443,0.967,0.87,0.3661142267207143,-0.4630144652830769,0.8072038019802185,0.43396429464186803,0.8522825613137569,0.29204353554983575,-0.8231861053058896,0.2433763353719681,0.512964516718488
0.377,0.479,0.397,0.8184344388545483,-0.2030265607613487,0.5375363103291341,0.34313798949613195,0.9230634708970079,-0.17381066958078573,-0.4608919498769675,0.3267017666327916,0.8251330597046878
0.268,0.481,0.959,0.5091702076317765,-0.7190295650467493,0.47301393663283964,0.7257313057561136,0.6541297352840935,0.21313930013652588,-0.46266593942686113,0.23475684016838388,0.8548856382513487
0.04,0.617,0.774,0.5832649909373759,-0.6818961047234415,0.4413837929849941,0.5701179740919311,0.7307214912814352,0.37551510994465687,-0.5785909141735075,0.03261601665489914,0.8149654897561198
0.814,0.985,0.44,0.5002038223301911,0.25566987416793063,0.827302273397832,0.23548621922288918,0.8792420039387756,-0.4141011217877043,-0.8332720904256761,0.4019532484663862,0.37959347908643476
0.866,0.799,0.024,0.6972228685756943,0.5302055603569691,0.48245449039430915,0.016736562389197483,0.6607927072849806,-0.7503818264579563,-0.7166590256282779,0.5312579992485179,0.4518459684671195
0.314,0.743,0.039,0.7358823814814139,0.17170500552919377,0.6549767260761732,0.028713972338144024,0.9585293869262503,-0.28354351022612206,-0.6765002796879002,0.22746165715347771,0.7004345551921226
0.376,0.858,0.065,0.6525708604524629,0.21679899770815927,0.7260505951247954,0.042476944482784176,0.946221086434405,-0.3207200722971683,-0.7565361731442447,0.2401329843641476,0.6082673495631912
